region,lat,lng,nodos,golden
Region6,17.060961,-96.719728,2,75
Region6,17.0619972,-96.7241028,2,75
Region6,17.071125,-96.676006,2,75
Region6,17.0741667,-96.715,1,12
Region9,17.080393,-96.712344,1,62
Region9,17.0921806,-96.7560139,2,100
Region9,17.137299,-92.557,1,62
Region7,17.181286,-100.432942,1,62
Region9,17.237805,-96.82281,1,87
Region9,17.395645,-99.519063,2,75
Region9,17.430056,-93.367418,1,50
Region9,17.4678,-97.2161,1,87
Region7,17.486165,-99.459894,1,100
Region5,17.527286,-99.487459,1,62
Region9,17.533397,-99.497048,1,50
Region7,17.538122,-99.511257,2,93.5
Region5,17.549426,-99.500815,2,100
Region7,17.54944,-99.4925,1,100
Region8,17.550556,-99.501111,1,100
Region8,17.556421,-99.517328,1,100
Region7,17.557592,-99.502361,1,100
Region7,17.563345,-99.39782,3,62.3333333333
Region6,17.565939,-99.466003,4,12
Region7,17.566182,-99.534419,2,31
Region7,17.56825,-96.4992777,1,25
Region7,17.591825,-99.0929667,1,100
Region7,17.618442,-101.460104,2,75
Region7,17.63497,-101.493708,1,100
Region6,17.638194,-99.528917,1,12
Region7,17.643798,-101.595783,2,93.5
Region7,17.644333,-101.557028,2,93.5
Region7,17.647382,-101.518175,2,68.5
Region7,17.648417,-101.582393,2,75
Region7,17.648874,-101.547688,1,100
Region7,17.648895,-99.523298,2,75
Region6,17.648986,-99.523169,1,12
Region9,17.658344,-101.600948,4,87
Region7,17.661826,-101.591159,1,100
Region7,17.664047,-101.612919,1,100
Region7,17.706325,-101.617278,3,79
Region8,17.72733,-92.61198,1,100
Region4,17.749122,-91.902563,2,12
Region6,17.804891,-97.776478,2,12
Region7,17.807858,-99.634842,3,79
Region6,17.809523,-97.775446,2,75
Region7,17.828944,-97.791417,1,25
Region7,17.83566,-93.39509,2,100
Region9,17.862633,-93.148703,1,50
Region8,17.87519,-93.07019,1,12
Region8,17.875274,-92.744239,1,100
Region7,17.877423,-93.152611,1,100
Region7,17.8989,-94.8186,1,62
Region8,17.9057778,-92.9229722,1,100
Region4,17.91955,-92.909839,2,12
Region7,17.923343,-95.024727,1,25
Region4,17.945507,-92.797641,2,12
Region4,17.948543,-94.916223,2,12
Region7,17.950274,-94.899287,1,100
Region7,17.9512111,-94.6781111,1,12
Region4,17.954556,-92.948983,4,12
Region8,17.956201,-92.95503,1,100
Region9,17.9663944,-92.9327472,2,87
Region4,17.966525,-92.9216722,2,18.5
Region4,17.966851,-92.961969,2,12
Region8,17.968173,-92.932886,2,100
Region8,17.969478,-92.942949,2,100
Region8,17.969891,-92.948093,2,37
Region7,17.9699111,-94.720725,1,100
Region6,17.971572,-92.957094,1,62
Region8,17.971767,-92.923261,1,100
Region4,17.9755,-92.91028,2,12
Region8,17.975551,-92.963737,1,100
Region8,17.976414,-92.936346,2,100
Region8,17.978488,-93.149281,1,100
Region4,17.980441,-92.946934,2,12
Region4,17.981301,-94.631852,2,18.5
Region8,17.983738,-92.935097,1,100
Region8,17.984024,-92.946761,1,100
Region8,17.9840297,-94.54192,1,62
Region8,17.984214,-92.956052,2,100
Region8,17.984864,-92.818781,1,100
Region4,17.985278,-92.99257,2,12
Region8,17.985625,-92.969275,1,100
Region8,17.986312,-93.36734,2,100
Region6,17.988709,-92.965728,1,62
Region6,17.988828,-92.918379,1,62
Region8,17.989056,-92.979181,2,100
Region6,17.98928,-92.927408,1,62
Region8,17.989571,-92.934009,1,100
Region8,17.989897,-92.950383,1,100
Region8,17.991813,-93.57939,1,100
Region4,17.992482,-93.37707,2,62.5
Region8,17.9939967,-92.9558833,2,100
Region7,17.9941944,-92.9219639,2,37
Region8,17.994232,-94.580681,1,100
Region5,17.994523,-94.546344,1,62
Region8,17.994684,-92.929643,2,100
Region6,17.996058,-92.913567,1,62
Region7,17.99824,-94.63431,2,100
Region6,17.998774,-92.942385,2,62
Region6,17.99914,-92.917479,1,62
Region8,17.999171,-92.989009,2,100
Region8,18.00021,-93.39959,1,100
Region8,18.001582,-92.946314,1,100
Region9,18.001808,-94.52878,1,87
Region8,18.003064,-92.860053,2,100
Region7,18.009001,-95.260261,1,100
Region9,18.009761,-92.921097,1,87
Region8,18.0106694,-92.9038556,2,100
Region8,18.011536,-94.546973,1,100
Region8,18.0115806,-92.9618889,2,100
Region4,18.01179,-92.96166,2,12
Region8,18.01275,-92.9706111,2,100
Region7,18.01505,-94.390854,1,100
Region7,18.015384,-92.920002,2,18.5
Region7,18.017899,-93.366646,1,100
Region3,18.0191611,-92.9562775,2,12
Region4,18.019733,-92.994055,2,12
Region8,18.019842,-92.939431,1,100
Region7,18.02107,-93.76784,2,100
Region7,18.022172,-94.564449,1,100
Region7,18.02355,-94.68005,1,100
Region6,18.024533,-102.285567,3,12
Region9,18.024906,-92.920252,3,100
Region7,18.046438,-94.207828,1,62
Region8,18.054,-92.896583,2,100
Region8,18.06454,-93.372037,1,100
Region3,18.064965,-94.320842,2,12
Region5,18.0657639,-94.3778194,1,62
Region8,18.067834,-93.164752,1,100
Region6,18.074039,-94.410096,1,12
Region7,18.077219,-93.942923,2,100
Region7,18.085487,-94.042656,1,100
Region7,18.087802,-94.362656,1,100
Region9,18.089665,-96.132212,1,100
Region7,18.092386,-95.400073,1,100
Region4,18.100946,-94.572968,2,12
Region7,18.102314,-94.57725,1,12
Region8,18.10907,-94.04062,1,100
Region7,18.1108,-94.4044,2,100
Region5,18.122791,-94.467388,1,100
Region8,18.123195,-93.292584,1,100
Region7,18.127427,-94.379513,1,100
Region8,18.12908,-94.42548,2,100
Region8,18.132587,-92.865083,1,100
Region6,18.133258,-94.435736,1,62
Region5,18.137836,-94.500882,1,62
Region4,18.14181,-94.48793,1,25
Region8,18.141944,-99.198376,1,100
Region8,18.1435,-94.428389,1,12
Region8,18.144071,-94.521971,1,100
Region7,18.147361,-94.417833,1,100
Region8,18.150946,-94.44491,1,100
Region3,18.15139,-94.43078,2,12
Region7,18.152387,-94.389006,1,100
Region8,18.167911,-93.019174,1,100
Region7,18.2069444,-98.0513889,1,25
Region4,18.213659,-91.5088,2,12
Region8,18.23961,-93.34982,1,100
Region8,18.248176,-93.196166,2,68.5
Region8,18.261236,-93.22516,1,100
Region8,18.281333,-93.212488,2,100
Region8,18.28467,-93.33375,1,100
Region9,18.321085,-100.278834,2,81
Region9,18.337624,-95.822799,1,87
Region8,18.339533,-93.20409,1,100
Region7,18.343715,-99.521999,1,100
Region7,18.344015,-99.541231,1,100
Region7,18.354003,-99.52695,2,93.5
Region7,18.365389,-95.781056,1,100
Region7,18.37607,-95.75163,1,100
Region7,18.3799972,-97.2609778,1,25
Region8,18.390344,-99.472693,1,100
Vacio,18.391334,-99.472844,2,81
Region8,18.407415,-93.208409,2,100
Region4,18.4111933,-93.1795967,4,12
Region7,18.420833,-95.105556,1,100
Region7,18.4379639,-95.2162722,1,100
Region5,18.4391722,-97.4008111,1,62
Region7,18.44558,-95.25702,1,100
Region7,18.45239,-95.20309,1,100
Region7,18.452796,-96.344598,1,100
Region7,18.4531433,-95.2193023,1,100
Region8,18.453746,-97.401077,2,100
Region5,18.459157,-97.376467,1,62
Region8,18.462704,-97.388976,1,100
Region9,18.463806,-97.406472,1,62
Region8,18.471111,-99.170583,1,37
Region5,18.474869,-97.388445,1,62
Region8,18.477031,-97.423893,1,100
Region5,18.477194,-97.408944,1,62
Region7,18.4798,-96.01668,1,62
Region8,18.48224,-97.39926,1,100
Region5,18.486511,-97.454111,1,100
Region7,18.48888,-97.38361,1,100
Region7,18.49004,-97.42311,1,100
Region4,18.49564,-88.394478,2,12
Region8,18.4994139,-88.293925,1,100
Region9,18.5063611,-88.3247111,1,50
Region6,18.506503,-88.324217,1,12
Region8,18.51341,-88.36233,1,100
Region8,18.516437,-88.318323,1,100
Region8,18.51768,-88.33388,1,100
Region6,18.518647,-88.332985,1,12
Region5,18.518931,-97.504238,1,62
Region8,18.521194,-88.295203,1,100
Region8,18.527589,-88.283481,1,100
Region8,18.529794,-88.318505,1,100
Region8,18.531851,-88.302481,1,100
Region5,18.533733,-92.638175,1,100
Region8,18.541301,-88.272299,1,100
Region8,18.543155,-88.302015,1,100
Region9,18.552667,-99.599778,2,62
Region9,18.557997,-99.268372,1,12
Region7,18.570106,-99.600702,1,62
Region8,18.588137,-98.849272,2,18.5
Region9,18.589464,-99.258497,1,87
Region4,18.5932222,-97.59325,2,18.5
Region9,18.60732,-90.740848,1,62
Region9,18.6127194,-99.2851111,1,87
Region8,18.618634,-92.163942,2,100
Region5,18.629883,-99.214298,1,25
Region8,18.63325,-91.8302222,1,100
Region7,18.636048,-96.257591,1,100
Region7,18.6362,-96.41819,1,100
Region8,18.6391389,-99.1643889,1,37
Region7,18.641498,-92.380994,1,100
Region9,18.6424758,-99.2256256,1,87
Region8,18.64264,-91.82281,2,100
Region8,18.64382,-91.84024,1,100
Region9,18.6469389,-91.7887944,1,50
Region9,18.647806,-91.827683,3,49.6666666667
Region8,18.64795,-91.77503,1,100
Region7,18.6485167,-91.8102056,1,100
Region8,18.6486,-91.83093,1,100
Region6,18.650566,-91.824197,1,62
Region6,18.651109,-91.802468,1,12
Region6,18.653793,-91.798644,1,62
Region9,18.654089,-99.296693,1,25
Region8,18.655176,-91.839732,2,56
Region9,18.657109,-91.823083,1,62
Region9,18.6586528,-99.1895639,1,12
Region7,18.65918,-91.798217,2,100
Region8,18.66187,-91.77146,1,100
Region7,18.663221,-91.759108,1,100
Region7,18.664249,-91.787416,1,100
